id,validated,included_in_stats,publication_type,publication_format,publication_year,authors,title,journal_name,volume,issue,pages,doi,url,book_title,book_authors,book_publisher,pdf_present,mesophotic,mce,tme,original_data,new_species,min_depth,max_depth,fields,focusgroups,platforms,locations
210,TRUE,TRUE,scientific,article,1997,"Schlichter D, Kampmann H, Conrady S",Trophic potential and photoecology of endolithic algae living within coral skeletons,Mar Ecol,18,4,299-317,10.1111/j.1439-0485.1997.tb00444.x,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,3,158,Physiology; Ecology,Scleractinia (Hard Corals); Symbiodinium (zooxanthellae); Other endosymbionts (non-Symbiodinium),Manned Submersible,Israel - Red Sea
211,TRUE,TRUE,scientific,article,1980,Sheppard CRC,"Coral cover, zonation and diversity on reef slopes of Chagos Atolls, and population structures of the major species",Mar Ecol Prog Ser,2,3,193-205,,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,3,60,Community structure; Biodiversity; Ecology,Overall benthic (groups); Scleractinia (Hard Corals),SCUBA (open-circuit or unspecified),Chagos Archipelago
212,TRUE,FALSE,scientific,review,1982,Sheppard CRC,Coral populations on reef slopes and their major controls,Mar Ecol Prog Ser,7,1,83-115,,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0,100,Community structure; Biodiversity; Ecology; Physiology; Geomorphology; Reproduction,Scleractinia (Hard Corals),,
214,TRUE,TRUE,scientific,article,1978,"Van den Hoek C, Breeman AM, Bak RPM, Van Buurt G","The distribution of algae, corals, and gorgonians in relation to depth, light attenuation, water movement and grazing pressure in the fringing reef of Curacao, Netherlands Antilles",Aquat Bot,5,,Jan-46,10.1016/0304-3770(78)90045-1,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0,65,Community structure; Ecology; Biodiversity,"Scleractinia (Hard Corals); Octocorallia (Soft Corals); Algae (Macro, Turf and Crustose Coralline)",SCUBA (open-circuit or unspecified),Curaçao
215,TRUE,TRUE,scientific,article,2012,"Kahng SE, Wagner D, Lantz C, Vetter O, Gove J, Merrifield M",Temperature related depth limits of warm-water corals,Proc 12th Int Coral Reef Symp,9C,,,,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,90,150,Ecology; Oceanography,Scleractinia (Hard Corals),Manned Submersible,USA - Hawaii
216,TRUE,TRUE,scientific,article,2012,"Sparks JS, Gruber DF",A new mesophotic clingfish (Teleostei: Gobiesocidae) from the Bahamas,Copeia,2012,2,251-256,10.1643/CI-11-124,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,86,92,Biodiversity; Taxonomy,Fishes,Rebreather,Bahamas
217,TRUE,TRUE,scientific,article,2013,"Corgosinho PHC, Schizas NV","Archeolourinia shermani, a new genus and species of Louriniidae (Copepoda: Harpacticoida) from a Caribbean mesophotic zone",J Mar Biol Assoc UK,93,3,651-657,10.1017/S0025315412001336,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,67,67,Biodiversity; Taxonomy,Crustacea,Rebreather,Puerto Rico
218,TRUE,TRUE,scientific,article,2012,"Pešić V, Chatterjee T, Schizas NV","A new species of Pontarachna (Acari, Hydrachnidia, Pontarachnidae) from a mesophotic coral ecosystem off Vieques Island, Puerto Rico, Caribbean Sea",Zootaxa,3440,1,63-67,10.11646/zootaxa.3440.1.3,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,52,67,Biodiversity; Taxonomy,Other invertebrates,Rebreather,Puerto Rico
219,TRUE,TRUE,scientific,article,2013,"Petrescu I, Chatterjee T, Schizas NV","Two new species of the genus Cumella (Crustacea: Cumacea: Nannastacidae) associated with mesophotic reefs of Puerto Rico and St. Croix, Caribbean Sea",Cah Biol Mar,54,,257-262,10.21411/CBM.A.AECF9422,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,67,67,Biodiversity; Taxonomy,Crustacea,Rebreather,Puerto Rico; US Virgin Islands
220,TRUE,TRUE,scientific,article,2011,"Ballantine DL, Ruiz H","A new encrusting deep-water coral reef alga, Peyssonnelia incomposita (Peyssonneliaceae, Rhodophyta), from Puerto Rico, Caribbean Sea",Crypt Algol,32,1,19-26,10.7872/crya.v32.iss1.2011.019,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,50,73,Biodiversity; Taxonomy,"Algae (Macro, Turf and Crustose Coralline)",Rebreather,Puerto Rico
221,TRUE,TRUE,scientific,article,2013,"Ohara T, Fujii T, Kawamura I, Mizuyama M, Montenegro J, Shikiba H, White KN, Reimer JD",First record of a mesophotic Pachyseris foliosa reef from Japan,Marine Biodiversity,43,2,71-72,10.1007/s12526-012-0137-0,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,25,45,Biodiversity; Community structure,Scleractinia (Hard Corals),SCUBA (open-circuit or unspecified),Japan - Ryukyu Islands (Okinawa)
222,TRUE,TRUE,scientific,article,2012,"Silva Cordeiro RT, Albuquerque Maranhão H, da Silva Lima ST, Pérez CD","First record of Stichopathes occidentalis (Gray, 1860) and range extensions of Antipathes atlantica Gray, 1857 (Cnidaria: Anthozoa: Antipatharia) in the southwestern Atlantic Ocean",Check List,8,4,826-828,,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,48,62,Biodiversity,Antipatharia (Black Corals),SCUBA (open-circuit or unspecified),Brazil - Eastern Brazil
223,TRUE,TRUE,scientific,article,2012,"Opresko DM, Wagner D, Montgomery AD, Brugler MR",Discovery of Aphanipathes verticillata (Cnidaria: Anthozoa: Antipatharia) in the Hawaiian Islands,Zootaxa,3348,,24-39,10.11646/ZOOTAXA.3348.1.2,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,88,130,Biodiversity; Taxonomy; Molecular ecology,Antipatharia (Black Corals),Manned Submersible,USA - Hawaii
