Id,Description,Created at,Updated at,Latitude,Longitude,Short description,Site name [Sites],Latitude [Sites],Longitude [Sites],SOVEREIGN1,TERRITORY1,Notes
34,Honduras - Bay Islands,2016-06-17 7:12,2017-05-24 4:14,16.095,-86.927, - ,"Utila,Unnamed site,Stingray Point ,Little Bight ,Black Coral Wall ,Lighthouse Reef ,Coral View","16.095,16.095,16.0689055,16.07926302,16.08305968,16.08534778,16.08823274","-86.927,-86.927,-86.95477948,-86.92942222,-86.91699554,-86.89803786,-86.91094506",Honduras ,Bay Islands,
35,Israel - Red Sea,2016-06-17 7:12,2017-05-24 4:14,29.533699,34.959183, - ,"Interuniversity Institute for Marine Science ,Dekel Beach,Japanese Gardens,Katza,Interuniversity Institute for Marine ,Unnamed site,Interuniversity Institute for Marine Science,H. Steinitz Marine Biology Laboratory,Interuniversity Institute for Marine Science,Dekel Beach,H. Steinitz Marine Biology Laboratory,Interuniversity Institute for Marine Sciences,Interuniversity Institute for Marine ,Coral Beach,Eilat","29.5,29.523,29.505,29.523,29.5,29.501,29.5,29.5,29.5,29.539,29.5,29.5,29.5,29.514228,0.0","34.917,34.934,34.917,34.934,34.917,34.917,34.933,34.933,34.917,34.946,34.967,34.917,34.933,34.923732,0.0",Israel ,Israel ,
36,Italy - Ligurian Sea,2016-06-17 7:12,2017-05-24 4:15,43.7542,8.8363, - ,"Portofino,Punta Faro,Corallone,Mantice,Bordighera","44.3,44.287,44.226,44.271,43.779","9.2,9.221,8.46,8.523,7.681",Italy ,Italy ,
37,Italy - Tyrrhenian Sea,2016-06-17 7:12,2017-05-24 4:15,40.711614,13.200073, - ,"Vercelli Seamount,Rete Bruno,Punta S. Angelo,Torre di Grado,Scoglio D'Isca,Campo Scogli,Olbia Canyon,Favazzina","41.107,42.689,40.691,40.602,40.606,40.768,41.07,38.264","10.907,10.023,13.894,14.503,14.528,14.269,9.798,15.739",Italy ,Italy ,
38,Jamaica,2016-06-17 7:12,2016-06-17 7:12,18.109581,-77.297508, - ,"Discovery Bay,Discovery Bay,Tobacco Reef,Discovery Bay,Unnamed site","18.467,18.458,16.833,18.5,18.11","-77.408,-77.398,-88.066,-77.333,-77.297",Jamaica,Jamaica,
39,Japan - Ryukyu Islands (Okinawa),2016-06-17 7:12,2018-11-13 4:22,26.212401,127.680932, - ,"Motobu Peninsula,Ryugu Reef,Sesoko Island,Unnamed site","26.704,26.531,26.67,26.198","127.878,127.862,127.865,127.632",Japan ,Ryukyu Islands,
40,USA - Johnston Atoll,2016-06-17 7:12,2017-05-24 4:19,16.756667,-169.533056, - ,"Johnston Atoll,Unnamed site,Unnamed site,Unnamed site,Unnamed site,Unnamed site,Johnston Atoll","16.75,16.772,16.75,16.787,16.759,16.652,16.0","-169.5,-169.544,-169.5,-169.464,-169.532,-169.576,-169.0",USA ,Johnston Atoll,
41,Micronesia - Mariana Islands,2016-06-17 7:12,2017-05-24 4:19,16.616667,145.616667, - ,"Garapan Anchorage,Saipan,Tinian,Rota,Guam,Galvez Bank,Guam,Tinian,Saipan","15.25,15.23,15.1,14.2,13.55,13.1,13.5,15.18,15.0","145.6,145.75,145.6,145.2,144.87,144.45,144.8,144.75,145.63",USA,Mariana Islands,
42,Micronesia - Marshall Islands,2016-06-17 7:12,2017-05-24 4:19,6.068302,171.989379, - ,"Enewetak Atoll,Enewetak Atoll,Enewetak Atoll,Enewetak Atoll,Enewetak Atoll,Enewetak Atoll,Enewetak Atoll,Enewetak Atoll,Enewetak Atoll,Enewetak Atoll,Enewetak Atoll,Enewetak Atoll,Enewetak Atoll,Enewetak Atoll,Unnamed site,Enewetak Atoll","11.466,11.466,11.463,11.452,11.427,11.436,11.423,11.417,11.41,11.406,11.89,11.397,11.39,11.386,11.456,11.465","-162.384,-162.395,-162.372,-162.348,-162.274,-162.302,-162.261,-162.244,-162.179,-162.212,-162.199,-162.191,-162.178,-162.164,-162.284,162.189",Marshall Islands,Marshall Islands,
43,Martinique,2016-06-17 7:12,2016-06-17 7:12,14.642,-61.024, - ,Unnamed site,14.642,-61.024,France,Martinique,
45,Micronesia - Caroline Islands (Pohnpei),2016-06-17 7:12,2018-11-13 4:33,7.51498,134.58252, - ,"Ngemelis Island,Puluwat Atoll, Caroline Islands,Magic Kingdom, Caroline Islands,Kayangel Atoll,Pohnpei,Caroline Islands,Pohnpei,Siaes Wall,Turtle Cove,Unnamed site","7.138,7.354,9.434,8.071,6.93,6.79,6.854,7.308,7.084,6.854","134.222,149.18,138.035,134.682,158.11,158.034,158.262,134.22,134.255,158.262",Micronesia ,Caroline Islands,
46,Panama - Caribbean Sea,2016-06-17 7:12,2017-05-24 4:16,9.062601,-81.55426, - ,"Perro Islands,Unnamed site","7.953,9.839","-82.01,-79.503",Panama ,Panama ,
47,Panama - Pacific Ocean,2016-06-17 7:12,2017-05-24 4:17,7.054216,-80.612183, - ,"Hannibal Bank,Uva Islands","7.436,7.815","-82.075,-81.759",Panama ,Panama ,
48,Puerto Rico,2016-06-17 7:12,2016-06-17 7:12,18.220833,-66.590149, - ,"Desecheo Island,Black Wall,Se Slope,El Hoyo-Precipio,Weinberg,Grammanik Bank,Southern Vieques Island,La Parguera,Guánica Bay,Black Jack Reef, Vieques Island,Caja de Muertos East,Caja de Muertos West,East Dumpsite East,East Dumpsite West,East of Channel,Outfall,West of Channel,West Dumpsite,Ratones East,Ratones Center,West of Ratones,East of Tallaboa,Tallaboa,Hole-in-the-Wal,El Hoyo,Abrir la Sierra,Weinberg, La Parguera,Bajo de Sico,Tourmaline,Hole-in-the-Wall, La Parguera,Precipicio, La Parguera,Terrace, La Parguera,Black Wall, La Parguera,Buoy, La Parguera,Unnamed site,Mona Island,Vieques Island, Puerto Rico,Bajo de Sico, Puerto Rico,Rio Grande, Puerto Rico,Mona Island,Hole-in-the-Wall, La Parguera,Caja de Muertos Island, Ponce,Bajo de Cico Bank,Hind Bank MCD,Mona Island","18.382,17.883,17.887,17.875,17.889,18.189,18.051,17.877,17.925,18.05,17.843,17.853,17.899,17.906,17.924,17.929,17.933,17.943,17.945,17.946,17.944,17.938,17.943,17.884,17.877,18.762,17.89,18.231,18.175,17.885,17.875,17.879,17.883,17.888,18.221,18.083,18.122,18.245,18.42,18.046,17.89,17.853,18.233,18.2,18.05","-67.488,-67.015,-67.003,-67.042,-66.986,-64.956,-65.463,-60.043,-66.872,-65.45,-66.568,-66.581,-66.61,-66.62,-66.621,-66.642,-66.657,-66.668,-66.673,-66.68,-66.69,-66.711,-66.73,-67.021,-67.041,-67.157,-66.989,-67.432,-67.327,-67.022,-67.049,-67.033,-67.015,-66.997,-66.59,-67.893,-65.193,-67.413,-65.795,-67.879,-66.989,-66.581,-67.417,-62.417,-67.9",USA,Puerto Rico,
49,Saudi Arabia - Red Sea,2016-06-17 7:12,2017-05-24 4:30,22.252,38.956, - ,reef Al Fahal,22.252,38.956,Saudi Arabia ,Saudi Arabia ,
50,El Salvador,2016-06-17 7:12,2017-05-24 4:28,24,-74.667, - ,San Salvador,24,-74.667,El Salvador,El Salvador,
51,South Africa,2016-06-17 7:12,2016-06-17 7:12,-34.787867,24.060059, - ,"Unnamed site,Tsitsikamma National Park","-34.05,0.0","23.894,0.0",South Africa,South Africa,
52,Spain - Mediterranean Sea,2016-06-17 7:12,2017-05-24 4:31,42.330488,3.338814, - ,"Cap de Creus,Cap de Creus,Punta Falconera, Cap de Creus,Punta de sa Oliguera, Cap de Creus,Ses Ielles, Cap de Creus,Punta Salinas, Coast of Montgri,Illa del Dufí, Medas Islands,Serra Ventosa, Medas Islands,Cova de la Reina, Medas Islands,Barda del Sastre, Medas Islands,Illes Medes,Illa del Düí, Coast of Montgri,Cap de Creus","42.312,42.05,42.229,42.334,42.311,42.099,42.103,43.042,43.041,43.041,43.042,42.103,42.32","3.318,3.05,3.217,3.275,3.297,3.214,3.196,3.225,3.225,3.225,3.225,3.196,3.326",Spain ,Spain ,
53,St Vincent,2016-06-17 7:12,2016-06-17 7:12,13.253,-61.197, - ,Unnamed site,13.253,-61.197,Saint Vincent and the Grenadines,St Vincent,
54,Sudan - Red Sea,2016-06-17 7:12,2017-05-24 4:31,19.672332,37.683105, - ,"Wingate Reef, Port Sudan",19.633,37.3,Sudan ,Sudan ,
55,Turks and Caicos,2016-06-17 7:12,2016-06-17 7:12,21.694,-71.798, - ,Turks and Caicos,21.694,-71.798,United Kingdom,Turks and Caicos,
